"DSSTox_RID","DSSTox_CID","DSSTox_Generic_SID","DSSTox_FileID","STRUCTURE_Formula","STRUCTURE_MolecularWeight","STRUCTURE_ChemicalType","STRUCTURE_TestedForm_DefinedOrganic","STRUCTURE_Shown","TestSubstance_ChemicalName","TestSubstance_CASRN","TestSubstance_Description","ChemicalNote","STRUCTURE_ChemicalName_IUPAC","STRUCTURE_SMILES","STRUCTURE_Parent_SMILES","STRUCTURE_InChI","STRUCTURE_InChIKey","StudyType","Endpoint","Species","ActivityOutcome_CPDBAS_Mutagenicity","TD50_Rat_mg","TD50_Rat_mmol","ActivityScore_CPDBAS_Rat","TD50_Rat_Note","TargetSites_Rat_Male","TargetSites_Rat_Female","TargetSites_Rat_BothSexes","ActivityOutcome_CPDBAS_Rat","TD50_Mouse_mg","TD50_Mouse_mmol","ActivityScore_CPDBAS_Mouse","TD50_Mouse_Note","TargetSites_Mouse_Male","TargetSites_Mouse_Female","TargetSites_Mouse_BothSexes","ActivityOutcome_CPDBAS_Mouse","TD50_Hamster_mg","TD50_Hamster_mmol","ActivityScore_CPDBAS_Hamster","TD50_Hamster_Note","TargetSites_Hamster_Male","TargetSites_Hamster_Female","TargetSites_Hamster_BothSexes","ActivityOutcome_CPDBAS_Hamster","TD50_Dog_mg","TargetSites_Dog","TD50_Rhesus_mg","TargetSites_Rhesus","TD50_Cynomolgus_mg","TargetSites_Cynomolgus","TD50_Dog_Primates_Note","ActivityOutcome_CPDBAS_Dog_Primates","ActivityOutcome_CPDBAS_SingleCellCall","ActivityOutcome_CPDBAS_MultiCellCall","ActivityOutcome_CPDBAS_MultiCellCall_Details","Note_CPDBAS","NTP_TechnicalReport","ChemicalPage_URL"
20945,945,20945,"990_CPDBAS_v5d","C5H5N3O4",171.1122,"defined organic","parent ","tested chemical","5-Nitro-2-furamidoxime","772-43-0","single chemical compound","tautomers","N'-hydroxy-5-nitrofuran-2-carboximidamide","O1C(=CC=C1[N+](=O)[O-])/C(=N/O)N","O1C(=CC=C1[N+](=O)[O-])/C(=N/O)N","InChI=1/C5H5N3O4/c6-5(7-9)3-1-2-4(12-3)8(10)11/h1-2,9H,(H2,6,7)/f/h6H2/b7-5-","WKIPQMJEBCEACS-HJHBTGHJDC","Carcinogenicity","TD50; Tumor Target Sites","rat","active",,,0,"no positive results",,"no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/5-NITRO-2-FURAMIDOXIME.html"
20946,946,20946,"991_CPDBAS_v5d","C9H9NO7",243.1726,"defined organic","parent ","tested chemical","5-Nitro-2-furanmethanediol diacetate","92-55-7","single chemical compound",,"(5-nitrofuran-2-yl)methanediyl diacetate","CC(=O)OC(C1=CC=C(O1)[N+](=O)[O-])OC(=O)C","CC(=O)OC(C1=CC=C(O1)[N+](=O)[O-])OC(=O)C","InChI=1/C9H9NO7/c1-5(11)15-9(16-6(2)12)7-3-4-8(17-7)10(13)14/h3-4,9H,1-2H3","HSXKWKJCZNRMJO-UHFFFAOYAS","Carcinogenicity","TD50; Tumor Target Sites","rat","active",,,0,"no positive results",,"no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/5-NITRO-2-FURANMETHANEDIOL%20DIACETATE.html"
20947,947,20947,"992_CPDBAS_v5d","C11H7N3O3",229.1946,"defined organic","parent ","tested chemical","3-(5-Nitro-2-furyl)-imidazo(1,2-alpha) pyridine","75198-31-1","single chemical compound",,"3-(5-nitrofuran-2-yl)imidazo[1,2-a]pyridine","[O-][N+](C3=CC=C(O3)C1=CN=C2N1C=CC=C2)=O","[O-][N+](C3=CC=C(O3)C1=CN=C2N1C=CC=C2)=O","InChI=1/C11H7N3O3/c15-14(16)11-5-4-9(17-11)8-7-12-10-3-1-2-6-13(8)10/h1-7H","ZDFULRQJRIJLRF-UHFFFAOYAA","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,13.6,0.0593,38,"TD50 is harmonic mean of more than one positive test","esophagus; kidney; stomach","esophagus; kidney; mammary gland; stomach",,"active",27,0.118,39,"TD50 is harmonic mean of more than one positive test","esophagus; stomach","esophagus; stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/3-(5-NITRO-2-FURYL)-IMIDAZO(1,2-alpha)PYRIDINE.html"
20948,948,20948,"993_CPDBAS_v5d","C6H3N3O5",197.1068,"defined organic","parent ","tested chemical","5-(5-Nitro-2-furyl)-1,3,4-oxadiazole-2-ol","2122-86-3","single chemical compound",,"5-(5-nitrofuran-2-yl)-1,3,4-oxadiazol-2-ol","OC2=NN=C(O2)C1=CC=C([N+]([O-])=O)O1","OC2=NN=C(O2)C1=CC=C([N+]([O-])=O)O1","InChI=1/C6H3N3O5/c10-6-8-7-5(14-6)3-1-2-4(13-3)9(11)12/h1-2H,(H,8,10)/f/h10H","OWDANLZJJOCPBK-KZFATGLACZ","Carcinogenicity","TD50; Tumor Target Sites","rat",,8.61,0.0437,40,,,"all tumor bearing animals",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOLE-2-OL.html"
20949,949,20949,"994_CPDBAS_v5d","C9H8N4O5",252.186,"defined organic","parent ","tested chemical","N-{[3-(5-Nitro-2-furyl)-1,2,4-oxadiazole-5-yl]-methyl}acetamide","36133-88-7","single chemical compound",,"N-{[3-(5-nitrofuran-2-yl)-1,2,4-oxadiazol-5-yl]methyl}acetamide","O=C(C)NCC1=NC(=NO1)C2=CC=C(O2)[N+]([O-])=O","O=C(C)NCC1=NC(=NO1)C2=CC=C(O2)[N+]([O-])=O","InChI=1/C9H8N4O5/c1-5(14)10-4-7-11-9(12-18-7)6-2-3-8(17-6)13(15)16/h2-3H,4H2,1H3,(H,10,14)/f/h10H","KOURBVJNDMXAMA-KZFATGLACQ","Carcinogenicity","TD50; Tumor Target Sites","rat","active",59.6,0.236,32,"no positive results are statistically significant",,"kidney; lung",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisite active",,,"http://potency.berkeley.edu/chempages/N-{[3-(5-NITRO-2-FURYL)-1,2,4-OXADIAZOLE-5-YL]-MET.html"
20950,950,20950,"995_CPDBAS_v5d","C8H6N4O4S",254.2198,"defined organic","parent ","tested chemical","N-[5-(5-Nitro-2-furyl)-1,3,4-thiadiazol-2-yl]acetamide","2578-75-8","single chemical compound",,"N-[5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-yl]acetamide","CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+]([O-])=O","CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+]([O-])=O","InChI=1/C8H6N4O4S/c1-4(13)9-8-11-10-7(17-8)5-2-3-6(16-5)12(14)15/h2-3H,1H3,(H,9,11,13)/f/h9H","KGVQFUIYBAPYSK-BGGKNDAXCH","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",8.84,0.0348,41,,,"hematopoietic system; kidney; lung; small intestine; stomach; vascular system",,"active",6.74,0.0265,46,,,"stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multispecies active",,,"http://potency.berkeley.edu/chempages/N-[5-(5-NITRO-2-FURYL)-1,3,4-THIADIAZOL-2-YL]ACETA.html"
20951,951,20951,"996_CPDBAS_v5d","C7H4N2O3S",196.1802,"defined organic","parent ","tested chemical","4-(5-Nitro-2-furyl)thiazole","53757-28-1","single chemical compound",,"4-(5-nitrofuran-2-yl)-1,3-thiazole","[O-][N+](C2=CC=C(O2)C1=CSC=N1)=O","[O-][N+](C2=CC=C(O2)C1=CSC=N1)=O","InChI=1/C7H4N2O3S/c10-9(11)7-2-1-6(12-7)5-3-13-4-8-5/h1-4H","NOMAVCLLBXUQRD-UHFFFAOYAB","Carcinogenicity","TD50; Tumor Target Sites","rat","active",7.68,0.0391,40,,,"mammary gland; stomach",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisite active",,,"http://potency.berkeley.edu/chempages/4-(5-NITRO-2-FURYL)THIAZOLE.html"
20952,952,20952,"997_CPDBAS_v5d","C9H7N3O4S",253.232,"defined organic","parent ","tested chemical","N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide","531-82-8","single chemical compound",,"N-[4-(5-nitrofuran-2-yl)-1,3-thiazol-2-yl]acetamide","[O-][N+](C1=CC=C(C2=CSC(NC(C)=O)=N2)O1)=O","[O-][N+](C1=CC=C(C2=CSC(NC(C)=O)=N2)O1)=O","InChI=1/C9H7N3O4S/c1-5(13)10-9-11-6(4-17-9)7-2-3-8(16-7)12(14)15/h2-4H,1H3,(H,10,11,13)/f/h10H","GYRMPDLIHUXUIG-KZFATGLACZ","Carcinogenicity","TD50; Tumor Target Sites","rat; hamster","active",17.8,0.0703,38,"TD50 is harmonic mean of more than one positive test",,"mammary gland",,"active",,,,,,,,,8.91,0.0352,61,,"stomach; urinary bladder",,,"active",,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]ACETAMIDE.html"
20953,953,20953,"998_CPDBAS_v5d","C8H5N3O4S",239.208,"defined organic","parent ","tested chemical","N-[4-(5-Nitro-2-furyl)-2-thiazolyl]formamide","24554-26-5","single chemical compound",,"N-[4-(5-nitrofuran-2-yl)-1,3-thiazol-2-yl]formamide","[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NC=O","[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NC=O","InChI=1/C8H5N3O4S/c12-4-9-8-10-5(3-16-8)6-1-2-7(15-6)11(13)14/h1-4H,(H,9,10,12)/f/h9H","ZQBWQLJJMGJREB-BGGKNDAXCV","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; hamster","active",4.25,0.0178,44,"TD50 is harmonic mean of more than one positive test; harmonic mean of TD50 includes a value for upper 99% confidence limit from study with 100% tumor incidence but no lifetable; greater than ten-fold variation among TD50 values for positive results","urinary bladder","urinary bladder",,"active",19.7,0.0824,40,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","urinary bladder","hematopoietic system; lung; stomach; urinary bladder",,"active",9.77,0.0408,60,"TD50 value is overestimated as upper 99% confidence limit from study with 100% tumor incidence but no lifetable; harmonic mean of TD50 includes a value for upper 99% confidence limit from study with 100% tumor incidence but no lifetable","stomach; urinary bladder",,,"active",,,,,,,,,"active","active","multisite active; multisex active; multispecies active","TD50_Rat_Note modified v5a; TD50_Hamster_Note modified v5a",,"http://potency.berkeley.edu/chempages/N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]FORMAMIDE.html"
20954,954,20954,"999_CPDBAS_v5d","C11H10N6O5",306.2372,"defined organic","parent ","tested chemical","N,N'-[6-(5-Nitro-2-furyl)-S-triazine-2,4-diyl]bisacetamide","51325-35-0","single chemical compound",,"N,N'-[6-(5-nitrofuran-2-yl)-1,3,5-triazine-2,4-diyl]diacetamide","C1(=NC(=NC(=N1)NC(C)=O)C2=CC=C(O2)[N+](=O)[O-])NC(C)=O","C1(=NC(=NC(=N1)NC(C)=O)C2=CC=C(O2)[N+](=O)[O-])NC(C)=O","InChI=1/C11H10N6O5/c1-5(18)12-10-14-9(15-11(16-10)13-6(2)19)7-3-4-8(22-7)17(20)21/h3-4H,1-2H3,(H2,12,13,14,15,16,18,19)/f/h12-13H","OSFMMSIDSIQFIT-BAINRFMOCD","Carcinogenicity","TD50; Tumor Target Sites","rat","active",14.1,0.046,40,,,"mammary gland",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/N,N'-[6-(5-NITRO-2-FURYL)-s-TRIAZINE-2,4-DIYL]BISA.html"
20955,955,20955,"1000_CPDBAS_v5d","C6H11NO2",129.1584,"defined organic","parent ","representative isomer in mixture","3-Nitro-3-hexene","4812-22-0","mixture or formulation","mixture of E,Z isomers structure shown 3Z","(3Z)-3-nitrohex-3-ene","CC/C(=C/CC)[N+](=O)[O-]","CC/C(=C/CC)[N+](=O)[O-]","InChI=1/C6H11NO2/c1-3-5-6(4-2)7(8)9/h5H,3-4H2,1-2H3/b6-5-","LDKGEUAGEISBIX-WAYWQWQTBF","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,8.66,0.067,38,,,,"lung","active",0.346,0.00268,57,,,,"lung","active",,,,,,,,,,,,,,,,,"active","active","multispecies active",,,"http://potency.berkeley.edu/chempages/3-NITRO-3-HEXENE.html"
20956,956,20956,"1001_CPDBAS_v5d","C6H6AsNO6",263.0365,"organometallic",,"tested chemical","3-Nitro-4-hydroxyphenylarsonic acid","121-19-7","single chemical compound",,"(4-hydroxy-3-nitrophenyl)arsonic acid","O[As](=O)(C1=CC(=C(C=C1)O)[N+](=O)[O-])O",,"InChI=1/C6H6AsNO6/c9-6-2-1-4(7(10,11)12)3-5(6)8(13)14/h1-3,9H,(H2,10,11,12)/f/h10-11H","XMVJITFPVVRMHC-PZWAIHAUCM","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 345","http://potency.berkeley.edu/chempages/3-NITRO-4-HYDROXYPHENYLARSONIC%20ACID.html"
20957,957,20957,"1002_CPDBAS_v5d","C6H7N3O2",153.1387,"defined organic","parent ","tested chemical","2-Nitro-p-phenylenediamine","5307-14-2","single chemical compound",,"2-nitrobenzene-1,4-diamine","NC1=C(C=C(C=C1)N)[N+](=O)[O-]","NC1=C(C=C(C=C1)N)[N+](=O)[O-]","InChI=1/C6H7N3O2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,7-8H2","HVHNMNGARPCGGD-UHFFFAOYAX","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",614,4.01,21,,"no positive results","liver",,"active",,,,,,,,,,,,,,,,,"active",,,,"TR 169","http://potency.berkeley.edu/chempages/2-NITRO-p-PHENYLENEDIAMINE.html"
20958,958,20958,"1003_CPDBAS_v5d","C6H7N3O2",153.1387,"defined organic","parent ","tested chemical","4-Nitro-o-phenylenediamine","99-56-9","single chemical compound",,"4-nitrobenzene-1,2-diamine","O=[N+](C1=CC(=C(C=C1)N)N)[O-]","O=[N+](C1=CC(=C(C=C1)N)N)[O-]","InChI=1/C6H7N3O2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H,7-8H2","RAUWPNXIALNKQM-UHFFFAOYAF","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 180","http://potency.berkeley.edu/chempages/4-NITRO-o-PHENYLENEDIAMINE.html"
20959,959,20959,"1004_CPDBAS_v5d","C7H8N2O2",152.1506,"defined organic","parent ","tested chemical","5-Nitro-o-toluidine","99-55-8","single chemical compound",,"2-methyl-5-nitroaniline","O=[N+](C1=CC(=C(C=C1)C)N)[O-]","O=[N+](C1=CC(=C(C=C1)C)N)[O-]","InChI=1/C7H8N2O2/c1-5-2-3-6(9(10)11)4-7(5)8/h2-4H,8H2,1H3","DSBIJCMXAIKKKI-UHFFFAOYAH","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",277,1.82,25,"TD50 is harmonic mean of more than one positive test","liver; vascular system","liver; vascular system",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,"TR 107","http://potency.berkeley.edu/chempages/5-NITRO-o-TOLUIDINE.html"
20960,960,20960,"1005_CPDBAS_v5d","C12H9NO2",199.2054,"defined organic","parent ","tested chemical","5-Nitroacenaphthene","602-87-9","single chemical compound",,"5-nitro-1,2-dihydroacenaphthylene","O=[N+](C1=CC=C2C3=C1C=CC=C3CC2)[O-]","O=[N+](C1=CC=C2C3=C1C=CC=C3CC2)[O-]","InChI=1/C12H9NO2/c14-13(15)11-7-6-9-5-4-8-2-1-3-10(11)12(8)9/h1-3,6-7H,4-5H2","CUARLQDWYSRQDF-UHFFFAOYAL","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; hamster","active",8.67,0.0435,40,"TD50 is harmonic mean of more than one positive test","ear Zymbals gland; lung","clitoral gland; ear Zymbals gland; lung; mammary gland",,"active",45.8,0.23,35,,"no positive results","liver; ovary",,"active",,,0,"no positive results",,"no positive results",,"inactive",,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 118","http://potency.berkeley.edu/chempages/5-NITROACENAPHTHENE.html"
20961,961,20961,"1006_CPDBAS_v5d","C6H6N2O2",138.124,"defined organic","parent ","tested chemical","p-Nitroaniline","100-01-6","single chemical compound",,"4-nitroaniline","O=[N+](C1=CC=C(C=C1)N)[O-]","O=[N+](C1=CC=C(C=C1)N)[O-]","InChI=1/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2","TYMLOMAKGOJONV-UHFFFAOYAW","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 418; additional results included in CPDB    ","http://potency.berkeley.edu/chempages/p-NITROANILINE.html"
20962,962,20962,"1007_CPDBAS_v5d","C7H7NO3",153.1354,"defined organic","parent ","tested chemical","o-Nitroanisole","91-23-6","single chemical compound",,"1-methoxy-2-nitrobenzene","COC1=C(C=CC=C1)[N+](=O)[O-]","COC1=C(C=CC=C1)[N+](=O)[O-]","InChI=1/C7H7NO3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3","CFBYEGUGFPZCNF-UHFFFAOYAE","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",15.6,0.102,36,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","hematopoietic system; kidney; large intestine; urinary bladder","hematopoietic system; kidney; large intestine; urinary bladder",,"active",178,1.16,27,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 416","http://potency.berkeley.edu/chempages/o-NITROANISOLE.html"
20963,963,20963,"1008_CPDBAS_v5d","C7H6N2O4",182.1335,"defined organic","parent ","tested chemical","4-Nitroanthranilic acid","619-17-0","single chemical compound",,"2-amino-4-nitrobenzoic acid","O=[N+](C1=CC(=C(C=C1)C(=O)O)N)[O-]","O=[N+](C1=CC(=C(C=C1)C(=O)O)N)[O-]","InChI=1/C7H6N2O4/c8-6-3-4(9(12)13)1-2-5(6)7(10)11/h1-3H,8H2,(H,10,11)/f/h10H","UEALKTCRMBVTFN-KZFATGLACR","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 109","http://potency.berkeley.edu/chempages/4-NITROANTHRANILIC%20ACID.html"
20964,964,20964,"1009_CPDBAS_v5d","C6H5NO2",123.1094,"defined organic","parent ","tested chemical","Nitrobenzene","98-95-3","single chemical compound",,"nitrobenzene","O=[N+](C1=CC=CC=C1)[O-]","O=[N+](C1=CC=CC=C1)[O-]","InChI=1/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H","LQNUZADURLCDLV-UHFFFAOYAA","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",25.5,0.207,33,"TD50 is harmonic mean of more than one positive test","kidney; liver; thyroid gland","liver; uterus",,"active",296,2.4,24,"TD50 is harmonic mean of more than one positive test","lung; thyroid gland","liver; mammary gland",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/NITROBENZENE.html"
20965,965,20965,"1010_CPDBAS_v5d","C7H5N3O2",163.1335,"defined organic","parent ","tested chemical","6-Nitrobenzimidazole","94-52-0","single chemical compound","tautomers","5-nitro-1H-benzimidazole","O=[N+](C1=CC2=C(C=C1)NC=N2)[O-]","O=[N+](C1=CC2=C(C=C1)NC=N2)[O-]","InChI=1/C7H5N3O2/c11-10(12)5-1-2-6-7(3-5)9-4-8-6/h1-4H,(H,8,9)/f/h8H","XPAZGLFMMUODDK-FZOZFQFYCB","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",372,2.28,24,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,,,,,,,,,,,,,,,"active","active","multisex active",,"TR 117","http://potency.berkeley.edu/chempages/6-NITROBENZIMIDAZOLE.html"
20966,966,20966,"1011_CPDBAS_v5d","C7H5NO4",167.1189,"defined organic","parent ","tested chemical","p-Nitrobenzoic acid","62-23-7","single chemical compound",,"4-nitrobenzoic acid","OC(=O)C1=CC=C(C=C1)[N+](=O)[O-]","OC(=O)C1=CC=C(C=C1)[N+](=O)[O-]","InChI=1/C7H5NO4/c9-7(10)5-1-3-6(4-2-5)8(11)12/h1-4H,(H,9,10)/f/h9H","OTLNPYWUJOZPPA-BGGKNDAXCX","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",287,1.72,23,,"no positive results","clitoral gland",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"active",,,,"TR 442","http://potency.berkeley.edu/chempages/p-NITROBENZOIC%20ACID.html"
20967,967,20967,"1012_CPDBAS_v5d","C4H9NO2",103.1198,"defined organic","parent ","tested chemical","1-Nitrobutane","627-05-4","single chemical compound",,"1-nitrobutane","[O-][N+](=O)CCCC","[O-][N+](=O)CCCC","InChI=1/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3","NALZTFARIYUCBY-UHFFFAOYAK","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,"Rat added v2a",,"http://potency.berkeley.edu/chempages/1-NITROBUTANE.html"
20968,968,20968,"1013_CPDBAS_v5d","C4H9NO2",103.1198,"defined organic","parent ","tested chemical","2-Nitrobutane","600-24-8","single chemical compound",,"2-nitrobutane","CC(CC)[N+]([O-])=O","CC(CC)[N+]([O-])=O","InChI=1/C4H9NO2/c1-3-4(2)5(6)7/h4H,3H2,1-2H3","SUGZATOHBPXTDV-UHFFFAOYAE","Carcinogenicity","TD50; Tumor Target Sites","rat",,2.86,0.0277,42,,"liver",,,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,"Rat added v2a; TD50_Rat modified v5a",,"http://potency.berkeley.edu/chempages/2-NITROBUTANE.html"
20969,969,20969,"1014_CPDBAS_v5d","C2H5NO2",75.0666,"defined organic","parent ","tested chemical","Nitroethane","79-24-3","single chemical compound",,"nitroethane","O=[N+](CC)[O-]","O=[N+](CC)[O-]","InChI=1/C2H5NO2/c1-2-3(4)5/h2H2,1H3","MCSAJNNLRCFZED-UHFFFAOYAB","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/NITROETHANE.html"
20970,970,20970,"1015_CPDBAS_v5d","C12H7Cl2NO3",284.0949,"defined organic","parent ","tested chemical","Nitrofen","1836-75-5","single chemical compound",,"2,4-dichloro-1-[(4-nitrophenyl)oxy]benzene","ClC1=C(C=CC(=C1)Cl)OC2=CC=C(C=C2)[N+](=O)[O-]","ClC1=C(C=CC(=C1)Cl)OC2=CC=C(C=C2)[N+](=O)[O-]","InChI=1/C12H7Cl2NO3/c13-8-1-6-12(11(14)7-8)18-10-4-2-9(3-5-10)15(16)17/h1-7H","XITQUSLLOSKDTB-UHFFFAOYAU","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",420,1.48,24,,"no positive results","pancreas",,"active",115,0.405,33,"TD50 is harmonic mean of more than one positive test","liver; vascular system","liver",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 26 ","http://potency.berkeley.edu/chempages/NITROFEN.html"
20971,971,20971,"1016_CPDBAS_v5d","C13H9NO2",211.2161,"defined organic","parent ","tested chemical","2-Nitrofluorene","607-57-8","single chemical compound",,"2-nitro-9H-fluorene","[O-][N+](=O)c1ccc2c3ccccc3Cc2c1","[O-][N+](=O)c1ccc2c3ccccc3Cc2c1","InChI=1/C13H9NO2/c15-14(16)11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8H,7H2","XFOHWECQTFIEIX-UHFFFAOYAJ","Carcinogenicity","TD50; Tumor Target Sites","rat","active",0.285,0.00135,55,,"kidney; liver; stomach",,,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisite active","Rat added v2a",,"http://potency.berkeley.edu/chempages/2-NITROFLUORENE.html"
20972,972,20972,"1017_CPDBAS_v5d","C8H6N4O5",238.157,"defined organic","parent ","tested chemical","1-[(5-Nitrofurfurylidene)amino]hydantoin","67-20-9","single chemical compound","stereochem","1-{[(1E)-(5-nitrofuran-2-yl)methylidene]amino}imidazolidine-2,4-dione","O=C1N(CC(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-]","O=C1N(CC(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-]","InChI=1/C8H6N4O5/c13-6-4-11(8(14)10-6)9-3-5-1-2-7(17-5)12(15)16/h1-3H,4H2,(H,10,13,14)/b9-3+/f/h10H","NXFQHRVNIOXGAQ-FLZDIJAGDD","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",163,0.684,27,,"kidney","no positive results",,"active",1400,5.88,20,,"no positive results","ovary",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 341","http://potency.berkeley.edu/chempages/1-[(5-NITROFURFURYLIDENE)AMINO]HYDANTOIN.html"
20973,973,20973,"1018_CPDBAS_v5d","C8H8N4O4",224.1756,"defined organic","parent ","tested chemical","1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone","555-84-0","single chemical compound","stereochem","1-{[(1E)-(5-nitrofuran-2-yl)methylidene]amino}imidazolidin-2-one","[O-][N+](=O)C1=CC=C(O1)C=NN2CCNC2=O","[O-][N+](=O)C1=CC=C(O1)C=NN2CCNC2=O","InChI=1/C8H8N4O4/c13-8-9-3-4-11(8)10-5-6-1-2-7(16-6)12(14)15/h1-2,5H,3-4H2,(H,9,13)/b10-5+/f/h9H","VSVAVMVWTLLTCH-IOJXJRBCDK","Carcinogenicity","TD50; Tumor Target Sites","rat",,5.26,0.0235,43,,,"hematopoietic system; mammary gland",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisite active",,,"http://potency.berkeley.edu/chempages/1-[(5-NITROFURFURYLIDENE)AMINO]-2-IMIDAZOLIDINONE.html"
